"","Energy","Danceability","Loudness..db.","Positiveness","Tempo","Acousticness","Speechiness","Instrumentalness","Liveness","Popularity","Explicit","emotion","lyrics_len","year","title_len","Good.for.Party","Good.for.Work.Study","Good.for.Relaxation.Meditation","Good.for.Exercise","Good.for.Running","Good.for.Driving","Good.for.Yoga.Stretching","Good.for.Social.Gatherings","Good.for.Morning.Routine"
"Energy",1,-0.00751712430399875,0.393011250864191,0.258197752731824,0.178311006020427,-0.67273222698814,0.108410728544529,-0.0741314174991433,0.177924814843624,0.0467650038699486,0.0957857255767539,-0.0499966095860427,0.115413279243159,0.0639869666380029,-0.0303107000654174,0.165655596106188,-0.446169130308185,-0.331410429943957,0.310362368729529,0.208454806230683,-0.120948481196413,-0.309791216140786,-0.0116318401870703,-0.0238754198275476
"Danceability",-0.00751712430399875,1,0.0970099594268901,0.435390899847341,-0.111885087583874,-0.130965919036843,0.246310167343172,-0.183439535927012,-0.12361692963828,0.107896633517899,0.324076201251692,-0.145881486750413,0.301459644681042,0.147076572151721,-0.0500069729496307,0.12399903115566,-0.169074810381528,-0.170855142958363,0.208885633839439,0.0595531555658613,0.193430268172015,-0.160909712577729,0.106936571140541,0.198266526032575
"Loudness..db.",0.393011250864191,0.0970099594268901,1,0.0850379032113526,0.0402730908658684,-0.330732728981742,0.0376508232558717,-0.104034558419475,0.0263353370505389,0.071167714854649,0.120523903598333,-0.0359092865711957,0.112396334495521,0.191716555209034,-0.0517125345282976,0.0706008569355201,-0.243797834559979,-0.177220298195295,0.148848573890402,0.0664363117031908,0.00806610464921892,-0.162095574688405,0.0275363714053969,0.0635373872801297
"Positiveness",0.258197752731824,0.435390899847341,0.0850379032113526,1,0.0277743037386166,-0.137924040073483,0.107927648850662,-0.14983153512282,0.0173081072167465,0.0805308820449965,0.0282306838403401,-0.0675789453622376,0.136384823254402,-0.144968497147341,0.0483103834475686,0.120912765466471,-0.173474844863739,-0.151959827902836,0.203815985072204,0.132914434229576,0.0299281381604526,-0.14107345197307,0.0347994949532926,0.0533461441141861
"Tempo",0.178311006020427,-0.111885087583874,0.0402730908658684,0.0277743037386166,1,-0.150245470398353,0.0090420808361044,0.00744262735775719,0.0111725225267344,0.00924063419109768,-0.0122969757990414,-0.00443664807465913,-0.0201222925551157,0.0171603852827407,-0.0208730718777579,0.19173787666409,-0.317323560729018,-0.262757409841141,0.361542527285906,0.311541864459424,-0.180949493730166,-0.220758354977007,-0.018433531343107,-0.0455502512694543
"Acousticness",-0.67273222698814,-0.130965919036843,-0.330732728981742,-0.137924040073483,-0.150245470398353,1,-0.0899238798370641,0.0803859446533562,-0.0655011113590765,-0.0611719375177602,-0.161326377668165,0.0721325409326851,-0.135876201701574,-0.0902783539296005,0.0582012867800671,-0.115173817554478,0.499856593543835,0.351660659271339,-0.205932914069828,-0.110707327029077,-0.0984924647806321,0.314973960164955,-0.0248323618790447,-0.102312374254313
"Speechiness",0.108410728544529,0.246310167343172,0.0376508232558717,0.107927648850662,0.0090420808361044,-0.0899238798370641,1,-0.138436396901999,0.105539026882377,-0.0803744442176225,0.494210025768761,-0.182095026339729,0.369982541590666,0.167351750340903,-0.0684038166235621,0.0102667817595217,-0.163164148587543,-0.103585835019796,0.0530395650073706,0.0799850498091304,0.0348406946112133,-0.0867516625326951,-0.0164369538284069,-0.0418114432321442
"Instrumentalness",-0.0741314174991433,-0.183439535927012,-0.104034558419475,-0.14983153512282,0.00744262735775719,0.0803859446533562,-0.138436396901999,1,-0.0269717378204451,-0.0388748970672675,-0.159902844088725,0.0301119978171059,-0.140481000363841,0.0247058898356165,0.00626903700237889,-0.0306182076163935,0.0845459746897177,0.0915307759218518,-0.0368364453150706,-0.0253075779340517,-0.0381219661644393,0.104823356628694,-0.0180539642680926,-0.0275213580091317
"Liveness",0.177924814843624,-0.12361692963828,0.0263353370505389,0.0173081072167465,0.0111725225267344,-0.0655011113590765,0.105539026882377,-0.0269717378204451,1,-0.0555977234489391,0.0313682503324056,-0.0259926485327012,0.0213140049403873,-0.025665311336488,0.0177103169456364,0.00118341681755362,-0.0577085600536706,-0.0406731768990001,0.0197480174991308,0.0181527979604691,-0.0438276736593782,-0.0396529086220721,-0.0165630038427056,-0.0343270339061836
"Popularity",0.0467650038699486,0.107896633517899,0.071167714854649,0.0805308820449965,0.00924063419109768,-0.0611719375177602,-0.0803744442176225,-0.0388748970672675,-0.0555977234489391,1,0.00483882103018583,-0.0063166220597554,0.0174942304024345,-0.0289886251313349,0.0701662159578273,0.342271879926907,-0.0330414027436398,-0.0235582152921808,0.053622793692375,0.0299854107947925,0.0295789748366552,-0.0172530434658755,0.201440057784509,0.0381707143598628
