"Artist.s.","song","Popularity","Tempo","Energy","Danceability","Loudness..db.","emotion"
"$uicideboy$","Pop Off",52,138,71,69,"-5.53db","anger"
"$uicideboy$","Georgia",52,138,71,69,"-5.53db","joy"
"$uicideboy$","Woo",52,138,71,69,"-5.53db","anger"
"$uicideboy$","Rock Out",51,138,71,69,"-5.53db","anger"
"$uicideboy$","Reliable",51,138,71,69,"-5.53db","anger"
"$uicideboy$","Brick on My Face",52,138,71,69,"-5.53db","anger"
"$uicideboy$","G-Wagon",52,138,71,69,"-5.53db","anger"
"(Hed) P.E.","Lets Ride",40,143,73,74,"-7.77db","sadness"
"2nd Roof,Tony Effe,Kelvyn Colt","Mike Tyson",21,129,72,73,"-5.1db","sadness"
"451","Stay Awake",36,150,76,61,"-5db","love"
"93FEETOFSMOKE","Mean A Damn Thing",15,148,75,57,"-3.77db","joy"
"9lokknine","Crank Mode",14,124,74,78,"-6.56db","anger"
"A Day To Remember","Bloodsucker",46,126,76,61,"-5db","sadness"
"A Fine Frenzy","FINE",28,136,79,75,"-4.34db","joy"
"A Great Big World","Everyone is Gay",39,149,81,53,"-6.13db","joy"
"A$AP Ferg","Fergivicious",33,126,84,86,"-5db","sadness"
"A$AP Ferg,NAV","What Do You Do",41,152,71,82,"-5.62db","anger"
"Aaron Tippin","Working Mans Ph.D",32,123,76,70,"-5.26db","joy"
"Aaron Watson","American Soul",31,130,87,60,"-6.16db","joy"
"Ace Hood,Vado","Home Invasion",18,124,66,71,"-5.93db","anger"
"Action Bronson,Riff Raff,Dana Coppafeel","Hot Shots Part Deux",21,130,71,59,"-5.16db","joy"
"Adam Green","Emily",35,136,81,74,"-5db","joy"
"Adam Jensen","Tombstone",30,159,81,66,"-5.11db","anger"
"ADP,B Young,Kranium,Ebenezer","Movie",32,127,62,77,"-4.61db","love"
"Against The Current,Taka","Dreaming Alone",45,145,66,64,"-6.58db","sadness"
"Agent Sasco (Assassin)","Somethings Gotta Give",26,170,76,68,"-5.09db","joy"
"Aimee Allen,Motion Picture Cast of Hairspray","Cooties",35,131,82,74,"-6.97db","sadness"
"AJ Tracey","Draft Pick",36,150,73,79,"-6.44db","sadness"
"AKA,Da Les","Kontrol",31,130,76,64,"-5.45db","joy"
"Alcazar","Not A Sinner Nor A Saint",36,128,83,72,"-4.13db","joy"
