"Artist.s.","song","Popularity","Tempo","Energy","Danceability","Loudness..db.","emotion"
"Camila Cabello,Young Thug","Havana Demo",80,105,52,76,"-4.33db","anger"
"Camila Cabello,Young Thug","Havana Demo",80,105,52,76,"-4.33db","anger"
"Camila Cabello,Young Thug","Havana Demo",80,105,52,76,"-4.33db","anger"
"Camila Cabello,Young Thug","Havana Demo",80,105,52,76,"-4.33db","anger"
"Camila Cabello,Young Thug","Havana Demo",80,105,52,76,"-4.33db","anger"
"Camila Cabello,Young Thug","Havana Demo",80,105,52,76,"-4.33db","anger"
"Camila Cabello,Young Thug","Havana Demo",80,105,52,76,"-4.33db","anger"
"Camila Cabello,Young Thug","Havana Demo",80,105,52,76,"-4.33db","anger"
"Camila Cabello,Young Thug","Havana Demo",80,105,52,76,"-4.33db","anger"
"Camila Cabello,Young Thug","Havana Demo",80,105,52,76,"-4.33db","anger"
"Camila Cabello,Young Thug","Havana Demo",80,105,52,76,"-4.33db","anger"
"Camila Cabello,Young Thug","Havana Demo",80,105,52,76,"-4.33db","anger"
"Camila Cabello,Young Thug","Havana Demo",80,105,52,76,"-4.33db","anger"
"Camila Cabello,Young Thug","Havana Demo",80,105,52,76,"-4.33db","anger"
"Camila Cabello,Young Thug","Havana Demo",80,105,52,76,"-4.33db","anger"
"Camila Cabello,Young Thug","Havana Demo",80,105,52,76,"-4.33db","anger"
"Camila Cabello,Young Thug","Havana Demo",80,105,52,76,"-4.33db","anger"
"Camila Cabello,Young Thug","Havana Demo",80,105,52,76,"-4.33db","anger"
"Camila Cabello,Young Thug","Havana Demo",80,105,52,76,"-4.33db","anger"
"Camila Cabello,Young Thug","Havana Demo",80,105,52,76,"-4.33db","anger"
"Camila Cabello,Young Thug","Havana Demo",80,105,52,76,"-4.33db","anger"
"Camila Cabello,Young Thug","Havana Demo",80,105,52,76,"-4.33db","anger"
"Camila Cabello,Young Thug","Havana Demo",80,105,52,76,"-4.33db","anger"
"Camila Cabello,Young Thug","Havana Demo",80,105,52,76,"-4.33db","anger"
"Camila Cabello,Young Thug","Havana Demo",80,105,52,76,"-4.33db","anger"
"Camila Cabello,Young Thug","Havana Demo",80,105,52,76,"-4.33db","anger"
"Camila Cabello,Young Thug","Havana Demo",80,105,52,76,"-4.33db","anger"
"Camila Cabello,Young Thug","Havana Demo",80,105,52,76,"-4.33db","anger"
"Camila Cabello,Young Thug","Havana Demo",80,105,52,76,"-4.33db","anger"
"Camila Cabello,Young Thug","Havana Demo",80,105,52,76,"-4.33db","anger"
