"Artist.s.","song","Popularity","Tempo","Energy","Danceability","Loudness..db.","emotion"
"AmaLee","My Song From Angel Beats",26,78,14,54,"-13.53db","fear"
"Audrey Mika","Deserve",16,83,13,38,"-14.05db","joy"
"Bonnie Prince Billy,Matt Sweeney","After I Made Love to You",27,81,19,45,"-13.13db","sadness"
"Carol Banawa","The First Time I Loved Forever",18,75,10,37,"-13.92db","love"
"Carpenters","Merry Christmas Darling",41,82,20,34,"-15.32db","joy"
"Chet Baker","Everything Depends on You",31,68,11,52,"-15.41db","sadness"
"Darlene Zschech","Amazing Grace",44,69,10,34,"-16.17db","joy"
"Darlene Zschech","Amazing Grace",44,69,10,34,"-16.17db","joy"
"DeYarmond Edison","First Impression",16,82,6,36,"-18.2db","joy"
"Ella Fitzgerald,Count Basie","Aint Misbehavin",26,76,14,43,"-17.22db","joy"
"George Jones","Almost Persuaded",14,80,21,42,"-17.12db","sadness"
"Glee Cast","On My Own",31,85,16,35,"-11.67db","joy"
"Haley Heynderickx","No Face",52,87,18,46,"-11.58db","sadness"
"Jim Croce","Until Its Time for Me to Go",18,72,10,50,"-16.13db","joy"
"Joan Baez","The Cherry Tree Carol",14,79,3,36,"-15.7db","joy"
"Julia Ecklar","Pushing the Speed of Light",24,76,4,53,"-21.03db","joy"
"Katharine McPhee","All the Way",41,76,18,48,"-12.14db","joy"
"Kenny Loggins","The More We Try",17,78,11,35,"-17.04db","sadness"
"Kris Kristofferson","Breakdown",24,74,14,44,"-18.04db","sadness"
"Laura Nyro","Captain for Dark Mornings",14,81,8,36,"-14.44db","love"
"Laura Stevenson","Lay Back Arms Out",17,73,19,35,"-11.72db","sadness"
"Lera Lynn","A Church in Ruins",27,81,3,36,"-17.01db","sadness"
"Linda Ronstadt","Lush Life",10,83,9,35,"-19.94db","sadness"
"Linda Ronstadt,Ann Savoy","King Of Bohemia",9,76,18,50,"-11.44db","joy"
"Malukah","Ragnar the Red",32,67,12,54,"-14.93db","joy"
"Mary Black","Moon River",23,83,16,38,"-14.58db","joy"
"Michl","Fight It Rough04",21,80,18,29,"-13.67db","joy"
"Mree","When You Come Home",33,64,12,35,"-14.19db","joy"
"Nat King Cole","Ain't Misbehavin'",29,83,14,21,"-16.9db","joy"
"Nat King Cole","Oh Little Town Of Bethlehem",46,81,16,27,"-15.76db","joy"
