"Artist.s.","song","Popularity","Tempo","Energy","Danceability","Loudness..db.","emotion"
"21 Savage","X",86,172,74,62,"-8.45db","anger"
"21 Savage","No Heart",86,172,74,62,"-8.45db","anger"
"21 Savage","Mr. Right Now",86,172,74,62,"-8.45db","anger"
"21 Savage","Savage Mode",86,172,74,62,"-8.45db","anger"
"21 Savage","No Advance",86,172,74,62,"-8.45db","anger"
"21 Savage","My Choppa Hate Niggas",86,172,74,62,"-8.45db","anger"
"21 Savage","Glock in My Lap",86,172,74,62,"-8.45db","anger"
"21 Savage","Ocean Drive",86,172,74,62,"-8.45db","anger"
"21 Savage","Rich Nigga Shit",86,172,74,62,"-8.45db","anger"
"21 Savage","Many Men",86,172,74,62,"-8.45db","anger"
"21 Savage","Slidin",86,172,74,62,"-8.45db","anger"
"21 Savage","Real Nigga",86,172,74,62,"-8.45db","anger"
"21 Savage","Brand New Draco",86,172,74,62,"-8.45db","anger"
"21 Savage","Snitches  Rats",86,172,74,62,"-8.45db","anger"
"21 Savage","No Opp Left Behind",86,172,74,62,"-8.45db","anger"
"21 Savage","Snitches  Rats Interlude",86,172,74,62,"-8.45db","anger"
"21 Savage","Run Up the Racks",86,172,74,62,"-8.45db","anger"
"21 Savage","Bad Guy",86,172,74,62,"-8.45db","anger"
"21 Savage","Who Run It Freestyle",86,172,74,62,"-8.45db","anger"
"21 Savage","12 AM",86,172,74,62,"-8.45db","anger"
"21 Savage","Supply",86,172,74,62,"-8.45db","anger"
"21 Savage","Pause",86,172,74,62,"-8.45db","anger"
"21 Savage","Hunnid on the Drop",86,172,74,62,"-8.45db","anger"
"21 Savage","Havoc",86,172,74,62,"-8.45db","anger"
"21 Savage","Lil Bitch",86,172,74,62,"-8.45db","anger"
"21 Savage","Start Dying",86,172,74,62,"-8.45db","anger"
"21 Savage","Baby Choppa",86,172,74,62,"-8.45db","anger"
"21 Savage","Come and Get Your Bitch",86,172,74,62,"-8.45db","anger"
"21 Savage","Big Smoke",86,172,74,62,"-8.45db","anger"
"21 Savage","Brains",86,172,74,62,"-8.45db","anger"
