"Artist.s.","song","Popularity","Tempo","Energy","Danceability","Loudness..db.","emotion"
"Adhitia Sofyan","Blue Sky Collapse",38,88,30,51,"-11db","joy"
"Air Supply","Keeping The Love Alive",28,87,25,50,"-14.38db","joy"
"Al Martino","Darling I Love You",22,88,33,37,"-12.87db","love"
"Alan Jackson","Thats The Way",28,100,28,63,"-13.4db","love"
"Aldous Harding","Im So Sorry",6,104,4,43,"-18.59db","joy"
"Alee Kinder","Rain to Snow",13,81,22,38,"-12.56db","joy"
"Alela Diane","Never Easy",27,87,27,55,"-12db","joy"
"Alice Phoebe Lou","Haruki",22,81,8,52,"-11.84db","sadness"
"Alison Krauss","Dreaming My Dreams With You",19,91,14,52,"-14.49db","love"
"Alphaville,Deutsches Filmorchester Babelsberg","Elegy",25,77,18,51,"-15.27db","sadness"
"Amanda Palmer","Suck It Up Buttercup",5,92,13,37,"-14.84db","sadness"
"Andy Shauf","Break My Silence",18,80,25,64,"-13.21db","love"
"Antony and the Johnsons,ANOHNI","Another World",34,93,4,27,"-20.74db","sadness"
"Asaf Avidan","No Stone Unturned",16,72,10,49,"-16.1db","joy"
"Au/Ra","Moon River",29,90,20,44,"-12.74db","joy"
"Audrey Mika","Deserve",16,83,13,38,"-14.05db","joy"
"Badly Drawn Boy","The Shining",41,93,20,42,"-14db","sadness"
"Barns Courtney","Goodbye John Smith",35,81,20,40,"-14.43db","fear"
"Bedouine","Bird",31,89,18,53,"-18db","joy"
"Bedouine","Bird",31,89,18,53,"-18db","joy"
"BERWYN","TO BE LOVED",32,75,16,52,"-14.39db","joy"
"Big Thief","Sparrow",43,102,35,56,"-9.46db","fear"
"Billie Holiday","Isn't This A Lovely Day?",17,88,11,48,"-14.13db","fear"
"Billie Holiday,Teddy Wilson","If I Were You",22,106,11,61,"-16.52db","joy"
"Billie Holiday,Teddy Wilson","If I Were You",22,106,11,61,"-16.52db","joy"
"Billy Joel","I've Loved These Days",41,78,28,52,"-12.62db","joy"
"Bing Crosby","Silent Night 1947 Version",44,93,14,24,"-18.2db","love"
"Bing Crosby","Now You Has Jazz",44,93,14,24,"-18.2db","love"
"Bing Crosby","Hey Look Me Over",44,93,14,24,"-18.2db","joy"
"Bing Crosby","Jingle Bells Rehearsal Take",44,93,14,24,"-18.2db","joy"
