"Artist.s.","song","Popularity","Tempo","Energy","Danceability","Loudness..db.","emotion"
"Barns Courtney","Goodbye John Smith",35,81,20,40,"-14.43db","fear"
"Billie Holiday","Yesterdays",33,77,10,41,"-14db","joy"
"Bobbie Gentry,Glen Campbell","Let It Be Me",30,82,15,41,"-15.92db","love"
"Carly Simon","Fisherman's Song",14,83,10,43,"-17.69db","love"
"Carol Banawa","Wait And Understand",11,82,13,42,"-14.62db","joy"
"Cat Power","Wild Is the Wind",30,66,5,40,"-14.5db","joy"
"Diana Krall,Clayton-Hamilton Jazz Orchestra","I'm Doing Ok",36,69,13,44,"-14.47db","joy"
"Etta James","The Very Thought of You",13,72,15,39,"-14.94db","joy"
"Jon Batiste","Dont Stop",33,78,17,38,"-13db","love"
"Marissa Nadler","Famous Blue Raincoat",34,78,15,38,"-14.25db","joy"
"Patty Griffin","You Never Asked Me",10,81,9,51,"-15.35db","sadness"
"Perfume Genius","Sister Song",30,79,10,44,"-18.28db","sadness"
"RHODES","Blank Space",32,78,14,40,"-13.1db","joy"
"Stephanie Lawrence,The ""Blood Brothers 1995"" Company","Marilyn monroe",27,79,14,39,"-18.38db","joy"
"Portland","Aftermath",33,80,13,54,"-13db","sadness"
"Noah Gundersen","Empty from the Start",13,82,9,47,"-14.83db","love"
"David J. Evans","Be Still For The Presence Of The Lord",42,82,14,39,"-13db","joy"
"Omar Esa","Allah Help Me",20,76,10,41,"-14.42db","sadness"
"Mary Black","Moon River",23,83,16,38,"-14.58db","joy"
"Lizzy McAlpine","In Agreement",48,66,16,46,"-16db","joy"
"Bobbie Gentry","Courtyard",29,80,12,35,"-14.62db","joy"
"Ella Fitzgerald,Louise Jordan & His Typmany Five","I'll Never Be Free",19,84,13,51,"-13.99db","love"
"Ella Fitzgerald,Louise Jordan & His Typmany Five","I'll Never Be Free",19,84,13,51,"-13.99db","love"
"United Pursuit,Brock Human","Are You Listening",30,70,14,48,"-16.37db","sadness"
"Jackson Owens","Mansion",33,83,26,50,"-13.52db","anger"
"Jackson Owens","Mansion",33,83,26,50,"-13.52db","anger"
"Jackson Owens","Mansion",33,83,26,50,"-13.52db","anger"
"Jackson Owens","Mansion",33,83,26,50,"-13.52db","anger"
"Jackson Owens","Mansion",33,83,26,50,"-13.52db","anger"
"Jackson Owens","Mansion",33,83,26,50,"-13.52db","anger"
